stop_id,time_interval,result
1309328,08,Citation
1309329,08,Verbal Warning
1309330,08,Citation
1309331,09,Citation
1309332,09,Citation
1309333,09,Verbal Warning
1309334,09,Written Warning
1309335,09,Verbal Warning
1309336,09,Verbal Warning
1309337,09,Verbal Warning
1309338,10,Verbal Warning
1309339,10,Verbal Warning
1309340,10,Citation
1309341,10,Citation
1309342,10,Verbal Warning
1309343,10,Verbal Warning
1309344,10,Citation
1309347,11,Citation
1309345,10,Citation
1309346,10,Citation
1309348,11,Citation
1309349,11,Citation
1309350,11,Citation
1309351,11,Citation
1309352,11,FI
1309353,00,Citation
1309354,00,Verbal Warning
1309355,00,Written Warning
1309356,00,Citation
1309357,13,Citation
1309358,06,NULL
1309359,14,Citation
1309360,15,NULL
1309361,15,NULL
1309362,15,NULL
1309363,15,NULL
1309364,16,NULL
1309365,16,NULL
1309366,17,NULL
1309367,17,Verbal Warning
1309368,17,NULL
1309369,17,NULL
1309370,18,NULL
1309371,18,Written Warning
1309372,18,Verbal Warning
1309373,17,Verbal Warning
1309374,18,NULL
1309375,18,NULL
1309376,18,NULL
1309377,18,Verbal Warning
1309378,19,Written Warning
1309379,19,Verbal Warning
1309380,19,Verbal Warning
1309381,19,Citation
1309382,17,Searched
1309383,20,Verbal Warning
1309384,20,Citation
1309385,18,Citation
1309386,19,Citation
1309387,20,Verbal Warning
1309388,20,FI
1309389,20,Verbal Warning
1309390,20,Verbal Warning
1309391,20,Citation
1309392,20,Citation
1309393,21,Verbal Warning
1309394,21,Citation
1309395,21,Verbal Warning
1309396,13,Citation
1309397,19,Citation
1309398,00,Citation
1309399,13,Citation
1309402,21,Verbal Warning
1309401,21,Verbal Warning
1309403,21,Verbal Warning
1309400,13,Citation
1309404,00,Written Warning
1309405,15,Citation
1309406,13,Citation
1309407,13,Citation
1309408,14,Citation
1309409,10,Citation
1309410,12,Citation
1309411,12,Citation
1309412,12,Citation
1309413,12,Citation
1309414,13,Citation
1309416,13,Written Warning
1309417,13,Citation
1309418,09,Written Warning
1309419,13,Written Warning
1309420,13,Searched
1309421,09,Citation
1309422,08,Citation
1309423,10,NULL
1309424,08,Citation
1309425,12,Written Warning
1309426,12,Searched
1309427,12,Citation
1309428,13,Citation
1309429,13,Citation
1309430,13,Citation
1309431,09,Written Warning
1309432,09,Citation
1309433,09,Written Warning
1309437,21,Citation
1309436,21,Verbal Warning
1309434,10,Citation
1309435,09,Written Warning
1309438,12,Citation
1309439,12,Citation
1309441,21,Citation
1309440,12,Citation
1309442,08,Citation
1309443,10,Citation
1309444,10,Citation
1309445,21,Citation
